student_id,week,message_text
S2000,1,"Hi Professor, are there any office hours this week?"
S2000,2,"Hi Professor, what chapters should we focus on for the exam?"
S2000,3,"Hi Professor, i have a question about the grading rubric."
S2000,3,"Hi Professor, when is the next assignment due?"
S2000,3,"Hi Professor, what chapters should we focus on for the exam?"
S2000,4,"Hi Professor, could you clarify the requirements for the project?"
S2000,4,"Hi Professor, what chapters should we focus on for the exam?"
S2000,5,"Hi Professor, i have a question about the grading rubric."
S2000,5,"Hi Professor, when is the next assignment due?"
S2000,5,"Hi Professor, are there any office hours this week?"
S2000,6,"Hi Professor, what chapters should we focus on for the exam?"
S2000,7,"Hi Professor, what chapters should we focus on for the exam?"
S2000,7,"Hi Professor, could you clarify the requirements for the project?"
S2000,8,"Hi Professor, could you clarify the requirements for the project?"
S2000,9,"Hi Professor, are there any office hours this week?"
S2000,9,I'm trying to keep up with everything.
S2000,11,"Hi Professor, i have a question about the grading rubric."
S2000,11,"Hi Professor, what chapters should we focus on for the exam?"
S2000,12,I'm having some difficulty with the recent topics.
S2000,13,"Hi Professor, i have a question about the grading rubric."
S2000,14,"Hi Professor, when is the next assignment due?"
S2000,16,"Hi Professor, what chapters should we focus on for the exam?"
S2001,3,Could you clarify the requirements for the project?
S2001,3,I have a question about the grading rubric.
S2001,3,Could you clarify the requirements for the project?
S2001,4,Are there any office hours this week?
S2001,4,What chapters should we focus on for the exam?
S2001,8,What chapters should we focus on for the exam?
S2001,8,When is the next assignment due?
S2001,9,What chapters should we focus on for the exam?
S2001,9,I have a question about the grading rubric.
S2001,11,Are there any office hours this week?
S2001,12,I have a question about the grading rubric.
S2001,14,Things have been a bit overwhelming recently.
S2001,14,I have a question about the grading rubric.
S2001,15,Are there any office hours this week?
S2001,16,Things have been a bit overwhelming recently.
S2002,1,Could you clarify the requirements for the project?
S2002,9,When is the next assignment due?
S2002,15,Thanks for the information.
S2003,1,Could you clarify the requirements for the project?
S2003,4,Are there any office hours this week?
S2003,5,I have a question about the grading rubric.
S2003,5,When is the next assignment due?
S2003,5,When is the next assignment due?
S2003,6,I have a question about the grading rubric.
S2003,6,When is the next assignment due?
S2003,6,I have a question about the grading rubric.
S2003,6,I have a question about the grading rubric.
S2003,8,Are there any office hours this week?
S2003,9,Are there any office hours this week?
S2003,9,I'm trying to keep up with everything.
S2003,9,What chapters should we focus on for the exam?
S2003,10,When is the next assignment due?
S2003,11,Could you clarify the requirements for the project?
S2003,11,What chapters should we focus on for the exam?
S2003,13,What chapters should we focus on for the exam?
S2003,15,I'm having some difficulty with the recent topics.
S2003,16,I have a question about the grading rubric.
S2004,2,I have a question about the grading rubric.
S2004,2,What chapters should we focus on for the exam?
S2004,4,Could you clarify the requirements for the project?
S2004,4,I have a question about the grading rubric.
S2004,4,Could you clarify the requirements for the project?
S2004,5,Are there any office hours this week?
S2004,5,What chapters should we focus on for the exam?
S2004,6,When is the next assignment due?
S2004,7,When is the next assignment due?
S2004,7,What chapters should we focus on for the exam?
S2004,7,I have a question about the grading rubric.
S2004,7,What chapters should we focus on for the exam?
S2004,8,Could you clarify the requirements for the project?
S2004,9,I have a question about the grading rubric.
S2004,12,I have a question about the grading rubric.
S2004,12,Are there any office hours this week?
S2004,16,I have a question about the grading rubric.
S2004,16,What chapters should we focus on for the exam?
S2005,2,I have a question about the grading rubric.
S2005,5,What chapters should we focus on for the exam?
S2005,5,Are there any office hours this week?
S2005,8,Could you clarify the requirements for the project?
S2005,9,Could you clarify the requirements for the project?
S2005,9,I have a question about the grading rubric.
S2005,11,Could you clarify the requirements for the project?
S2005,12,I'm trying to keep up with everything.
S2005,12,I have a question about the grading rubric.
S2005,14,What chapters should we focus on for the exam?
S2005,14,Could you clarify the requirements for the project?
S2005,14,What chapters should we focus on for the exam?
S2005,14,I'm trying to keep up with everything.
S2005,14,What chapters should we focus on for the exam?
S2005,16,I'm trying to keep up with everything.
S2006,1,"Hi Professor, i have a question about the grading rubric."
S2006,2,"Hi Professor, what chapters should we focus on for the exam?"
S2006,2,"Hi Professor, i have a question about the grading rubric."
S2006,2,"Hi Professor, what chapters should we focus on for the exam?"
S2006,4,"Hi Professor, i have a question about the grading rubric."
S2006,5,"Hi Professor, could you clarify the requirements for the project?"
S2006,6,"Hi Professor, i have a question about the grading rubric."
S2006,6,"Hi Professor, could you clarify the requirements for the project?"
S2006,8,"Hi Professor, could you clarify the requirements for the project?"
S2006,9,"Hi Professor, could you clarify the requirements for the project?"
